"","city_province","number_of_cases","notes","edit_date","discharged","deaths"
"341","Da Nang",6,NA,"18:38, 30 March 2020",3,NA
"342","Dong Thap",4,NA,"18:38, 30 March 2020",0,NA
"343","Hai Duong",1,NA,"18:38, 30 March 2020",0,NA
"344","Hanoi",84,NA,"18:38, 30 March 2020",27,NA
"345","Ha Tinh",1,NA,"18:38, 30 March 2020",0,NA
"346","Ho Chi Minh City",46,NA,"18:38, 30 March 2020",10,NA
"347","Khanh Hoa",1,NA,"18:38, 30 March 2020",1,NA
"348","Lai Chau",1,NA,"18:38, 30 March 2020",0,NA
"349","Lao Cai",2,NA,"18:38, 30 March 2020",0,NA
"350","Ninh Binh",8,NA,"18:38, 30 March 2020",1,NA
"351","Ninh Thuan",2,NA,"18:38, 30 March 2020",0,NA
"352","Quang Nam",3,NA,"18:38, 30 March 2020",0,NA
"353","Quang Ninh",7,NA,"18:38, 30 March 2020",0,NA
"354","Tay Ninh",2,NA,"18:38, 30 March 2020",0,NA
"355","Thai Nguyen",1,NA,"18:38, 30 March 2020",0,NA
"356","Thanh Hoa",3,NA,"18:38, 30 March 2020",1,NA
"357","Thua Thien Hue",2,NA,"18:38, 30 March 2020",1,NA
"358","Tra Vinh",3,NA,"18:38, 30 March 2020",0,NA
"359","Vinh Phuc",11,NA,"18:38, 30 March 2020",11,NA
"360","24 cities and provinces",203,NA,"18:38, 30 March 2020",55,NA
"361","Bac Lieu",2,NA,"21:34, 31 March 2020",0,NA
"362","Bac Ninh",1,NA,"21:34, 31 March 2020",0,NA
"363","Ben Tre",1,NA,"21:34, 31 March 2020",0,NA
"364","Binh Thuan",9,NA,"21:34, 31 March 2020",0,NA
"365","Can Tho",2,NA,"21:34, 31 March 2020",0,NA
"366","Da Nang",6,NA,"21:34, 31 March 2020",3,NA
"367","Dong Thap",4,NA,"21:34, 31 March 2020",0,NA
"368","Hai Duong",1,NA,"21:34, 31 March 2020",0,NA
"369","Hanoi",85,NA,"21:34, 31 March 2020",27,NA
"370","Ha Tinh",1,NA,"21:34, 31 March 2020",0,NA
"371","Ho Chi Minh City",49,NA,"21:34, 31 March 2020",11,NA
"372","Khanh Hoa",1,NA,"21:34, 31 March 2020",1,NA
"373","Lai Chau",1,NA,"21:34, 31 March 2020",0,NA
"374","Lao Cai",2,NA,"21:34, 31 March 2020",0,NA
"375","Ninh Binh",8,NA,"21:34, 31 March 2020",1,NA
"376","Ninh Thuan",2,NA,"21:34, 31 March 2020",0,NA
"377","Quang Nam",3,NA,"21:34, 31 March 2020",0,NA
"378","Quang Ninh",7,NA,"21:34, 31 March 2020",0,NA
"379","Tay Ninh",2,NA,"21:34, 31 March 2020",0,NA
"380","Thai Nguyen",1,NA,"21:34, 31 March 2020",0,NA
"381","Thanh Hoa",3,NA,"21:34, 31 March 2020",1,NA
"382","Thua Thien Hue",2,NA,"21:34, 31 March 2020",2,NA
"383","Tra Vinh",3,NA,"21:34, 31 March 2020",0,NA
"384","Vinh Phuc",11,NA,"21:34, 31 March 2020",11,NA
"385","24 cities and provinces",207,NA,"21:34, 31 March 2020",57,NA
"386","Bac Lieu",2,NA,"12:59, 1 April 2020",0,NA
"387","Bac Ninh",1,NA,"12:59, 1 April 2020",0,NA
"388","Ben Tre",1,NA,"12:59, 1 April 2020",0,NA
"389","Binh Thuan",9,NA,"12:59, 1 April 2020",0,NA
"390","Can Tho",2,NA,"12:59, 1 April 2020",0,NA
"391","Da Nang",6,NA,"12:59, 1 April 2020",3,NA
"392","Dong Thap",4,NA,"12:59, 1 April 2020",0,NA
"393","Hai Duong",1,NA,"12:59, 1 April 2020",0,NA
"394","Hanoi",94,NA,"12:59, 1 April 2020",27,NA
"395","Ha Tinh",2,NA,"12:59, 1 April 2020",0,NA
"396","Ho Chi Minh City",49,NA,"12:59, 1 April 2020",15,NA
"397","Khanh Hoa",1,NA,"12:59, 1 April 2020",1,NA
"398","Lai Chau",1,NA,"12:59, 1 April 2020",0,NA
"399","Lao Cai",2,NA,"12:59, 1 April 2020",0,NA
"400","Ninh Binh",9,NA,"12:59, 1 April 2020",1,NA
"401","Ninh Thuan",2,NA,"12:59, 1 April 2020",2,NA
"402","Quang Nam",3,NA,"12:59, 1 April 2020",0,NA
"403","Quang Ninh",7,NA,"12:59, 1 April 2020",0,NA
"404","Tay Ninh",2,NA,"12:59, 1 April 2020",0,NA
"405","Thai Nguyen",1,NA,"12:59, 1 April 2020",0,NA
"406","Thanh Hoa",3,NA,"12:59, 1 April 2020",1,NA
"407","Thua Thien Hue",2,NA,"12:59, 1 April 2020",2,NA
"408","Tra Vinh",3,NA,"12:59, 1 April 2020",0,NA
"409","Vinh Phuc",11,NA,"12:59, 1 April 2020",11,NA
"410","24 cities and provinces",218,NA,"12:59, 1 April 2020",63,NA
"411","Bac Lieu",2,NA,"12:41, 2 April 2020",0,NA
"412","Bac Ninh",1,NA,"12:41, 2 April 2020",0,NA
"413","Ben Tre",1,NA,"12:41, 2 April 2020",0,NA
"414","Binh Thuan",9,NA,"12:41, 2 April 2020",0,NA
"415","Can Tho",2,NA,"12:41, 2 April 2020",0,NA
"416","Da Nang",6,NA,"12:41, 2 April 2020",3,NA
"417","Dong Thap",4,NA,"12:41, 2 April 2020",0,NA
"418","Hai Duong",1,NA,"12:41, 2 April 2020",1,NA
"419","Hanoi",102,NA,"12:41, 2 April 2020",38,NA
"420","Ha Tinh",2,NA,"12:41, 2 April 2020",0,NA
"421","Ho Chi Minh City",50,NA,"12:41, 2 April 2020",15,NA
"422","Khanh Hoa",1,NA,"12:41, 2 April 2020",1,NA
"423","Lai Chau",1,NA,"12:41, 2 April 2020",0,NA
"424","Lao Cai",2,NA,"12:41, 2 April 2020",0,NA
"425","Ninh Binh",9,NA,"12:41, 2 April 2020",1,NA
"426","Ninh Thuan",2,NA,"12:41, 2 April 2020",2,NA
"427","Quang Nam",3,NA,"12:41, 2 April 2020",0,NA
"428","Quang Ninh",7,NA,"12:41, 2 April 2020",0,NA
"429","Tay Ninh",2,NA,"12:41, 2 April 2020",0,NA
"430","Thai Nguyen",1,NA,"12:41, 2 April 2020",0,NA
"431","Thanh Hoa",3,NA,"12:41, 2 April 2020",1,NA
"432","Thua Thien Hue",2,NA,"12:41, 2 April 2020",2,NA
"433","Tra Vinh",3,NA,"12:41, 2 April 2020",0,NA
"434","Vinh Phuc",11,NA,"12:41, 2 April 2020",11,NA
"435","24 cities and provinces",227,NA,"12:41, 2 April 2020",75,NA
"436","Bac Lieu",2,NA,"15:34, 3 April 2020",0,NA
"437","Bac Ninh",1,NA,"15:34, 3 April 2020",0,NA
"438","Ben Tre",1,NA,"15:34, 3 April 2020",0,NA
"439","Binh Thuan",9,NA,"15:34, 3 April 2020",7,NA
"440","Can Tho",2,NA,"15:34, 3 April 2020",0,NA
"441","Da Nang",6,NA,"15:34, 3 April 2020",3,NA
"442","Dong Thap",4,NA,"15:34, 3 April 2020",0,NA
"443","Ha Nam",1,NA,"15:34, 3 April 2020",0,NA
"444","Hanoi",105,NA,"15:34, 3 April 2020",38,NA
"445","Ha Tinh",2,NA,"15:34, 3 April 2020",0,NA
"446","Hai Duong",1,NA,"15:34, 3 April 2020",1,NA
"447","Ho Chi Minh City",53,NA,"15:34, 3 April 2020",18,NA
"448","Khanh Hoa",1,NA,"15:34, 3 April 2020",1,NA
"449","Lai Chau",1,NA,"15:34, 3 April 2020",0,NA
"450","Lao Cai",2,NA,"15:34, 3 April 2020",0,NA
"451","Ninh Binh",12,NA,"15:34, 3 April 2020",1,NA
"452","Ninh Thuan",2,NA,"15:34, 3 April 2020",2,NA
"453","Quang Nam",3,NA,"15:34, 3 April 2020",0,NA
"454","Quang Ninh",7,NA,"15:34, 3 April 2020",0,NA
"455","Tay Ninh",2,NA,"15:34, 3 April 2020",0,NA
"456","Thai Nguyen",1,NA,"15:34, 3 April 2020",0,NA
"457","Thanh Hoa",3,NA,"15:34, 3 April 2020",1,NA
"458","Thua Thien Hue",2,NA,"15:34, 3 April 2020",2,NA
"459","Tra Vinh",3,NA,"15:34, 3 April 2020",0,NA
"460","Vinh Phuc",11,NA,"15:34, 3 April 2020",11,NA
"461","25 cities and provinces",237,NA,"15:34, 3 April 2020",85,NA
"462","Bac Lieu",2,NA,"20:23, 4 April 2020",0,NA
"463","Bac Ninh",1,NA,"20:23, 4 April 2020",0,NA
"464","Ben Tre",1,NA,"20:23, 4 April 2020",0,NA
"465","Binh Thuan",9,NA,"20:23, 4 April 2020",7,NA
"466","Can Tho",2,NA,"20:23, 4 April 2020",0,NA
"467","Da Nang",6,NA,"20:23, 4 April 2020",4,NA
"468","Dong Thap",4,NA,"20:23, 4 April 2020",0,NA
"469","Ha Nam",1,NA,"20:23, 4 April 2020",0,NA
"470","Hanoi",106,NA,"20:23, 4 April 2020",38,NA
"471","Ha Tinh",3,NA,"20:23, 4 April 2020",0,NA
"472","Hai Duong",1,NA,"20:23, 4 April 2020",1,NA
"473","Ho Chi Minh City",53,NA,"20:23, 4 April 2020",22,NA
"474","Khanh Hoa",1,NA,"20:23, 4 April 2020",1,NA
"475","Lai Chau",1,NA,"20:23, 4 April 2020",0,NA
"476","Lao Cai",2,NA,"20:23, 4 April 2020",0,NA
"477","Ninh Binh",13,NA,"20:23, 4 April 2020",1,NA
"478","Ninh Thuan",2,NA,"20:23, 4 April 2020",2,NA
"479","Quang Nam",3,NA,"20:23, 4 April 2020",0,NA
"480","Quang Ninh",7,NA,"20:23, 4 April 2020",0,NA
"481","Tay Ninh",2,NA,"20:23, 4 April 2020",0,NA
"482","Thai Nguyen",1,NA,"20:23, 4 April 2020",0,NA
"483","Thanh Hoa",3,NA,"20:23, 4 April 2020",1,NA
"484","Thua Thien Hue",2,NA,"20:23, 4 April 2020",2,NA
"485","Tra Vinh",3,NA,"20:23, 4 April 2020",0,NA
"486","Vinh Phuc",11,NA,"20:23, 4 April 2020",11,NA
"487","25 cities and provinces",240,NA,"20:23, 4 April 2020",90,NA
"488","Bac Lieu",3,NA,"15:21, 5 April 2020",0,NA
"489","Bac Ninh",1,NA,"15:21, 5 April 2020",0,NA
"490","Ben Tre",1,NA,"15:21, 5 April 2020",0,NA
"491","Binh Thuan",9,NA,"15:21, 5 April 2020",7,NA
"492","Can Tho",2,NA,"15:21, 5 April 2020",0,NA
"493","Da Nang",6,NA,"15:21, 5 April 2020",4,NA
"494","Dong Thap",4,NA,"15:21, 5 April 2020",0,NA
"495","Ha Nam",1,NA,"15:21, 5 April 2020",0,NA
"496","Hanoi",106,NA,"15:21, 5 April 2020",38,NA
"497","Ha Tinh",3,NA,"15:21, 5 April 2020",0,NA
"498","Hai Duong",1,NA,"15:21, 5 April 2020",1,NA
"499","Ho Chi Minh City",53,NA,"15:21, 5 April 2020",22,NA
"500","Khanh Hoa",1,NA,"15:21, 5 April 2020",1,NA
"501","Lai Chau",1,NA,"15:21, 5 April 2020",0,NA
"502","Lao Cai",2,NA,"15:21, 5 April 2020",0,NA
"503","Ninh Binh",13,NA,"15:21, 5 April 2020",1,NA
"504","Ninh Thuan",2,NA,"15:21, 5 April 2020",2,NA
"505","Quang Nam",3,NA,"15:21, 5 April 2020",1,NA
"506","Quang Ninh",7,NA,"15:21, 5 April 2020",0,NA
"507","Tay Ninh",2,NA,"15:21, 5 April 2020",0,NA
"508","Thai Nguyen",1,NA,"15:21, 5 April 2020",0,NA
"509","Thanh Hoa",3,NA,"15:21, 5 April 2020",1,NA
"510","Thua Thien Hue",2,NA,"15:21, 5 April 2020",2,NA
"511","Tra Vinh",3,NA,"15:21, 5 April 2020",0,NA
"512","Vinh Phuc",11,NA,"15:21, 5 April 2020",11,NA
"513","25 cities and provinces",241,NA,"15:21, 5 April 2020",91,NA
"514","Bac Lieu",3,NA,"20:31, 6 April 2020",0,NA
"515","Bac Ninh",1,NA,"20:31, 6 April 2020",0,NA
"516","Ben Tre",1,NA,"20:31, 6 April 2020",0,NA
"517","Binh Thuan",9,NA,"20:31, 6 April 2020",7,NA
"518","Can Tho",2,NA,"20:31, 6 April 2020",1,NA
"519","Da Nang",6,NA,"20:31, 6 April 2020",5,NA
"520","Dong Thap",4,NA,"20:31, 6 April 2020",0,NA
"521","Ha Nam",1,NA,"20:31, 6 April 2020",0,NA
"522","Hanoi",111,NA,"20:31, 6 April 2020",38,NA
"523","Ha Tinh",3,NA,"20:31, 6 April 2020",0,NA
"524","Hai Duong",1,NA,"20:31, 6 April 2020",1,NA
"525","Ho Chi Minh City",53,NA,"20:31, 6 April 2020",22,NA
"526","Khanh Hoa",1,NA,"20:31, 6 April 2020",1,NA
"527","Lai Chau",1,NA,"20:31, 6 April 2020",0,NA
"528","Lao Cai",2,NA,"20:31, 6 April 2020",0,NA
"529","Ninh Binh",12,NA,"20:31, 6 April 2020",1,NA
"530","Ninh Thuan",2,NA,"20:31, 6 April 2020",2,NA
"531","Quang Nam",3,NA,"20:31, 6 April 2020",1,NA
"532","Quang Ninh",6,NA,"20:31, 6 April 2020",0,NA
"533","Tay Ninh",2,NA,"20:31, 6 April 2020",2,NA
"534","Thai Nguyen",1,NA,"20:31, 6 April 2020",0,NA
"535","Thanh Hoa",3,NA,"20:31, 6 April 2020",1,NA
"536","Thua Thien Hue",2,NA,"20:31, 6 April 2020",2,NA
"537","Tra Vinh",3,NA,"20:31, 6 April 2020",0,NA
"538","Vinh Phuc",11,NA,"20:31, 6 April 2020",11,NA
"539","25 cities and provinces",245,NA,"20:31, 6 April 2020",95,NA
"540","Bac Lieu",3,NA,"23:59, 7 April 2020",0,NA
"541","Bac Ninh",1,NA,"23:59, 7 April 2020",0,NA
"542","Ben Tre",1,NA,"23:59, 7 April 2020",1,NA
"543","Binh Thuan",9,NA,"23:59, 7 April 2020",7,NA
"544","Can Tho",2,NA,"23:59, 7 April 2020",1,NA
"545","Da Nang",6,NA,"23:59, 7 April 2020",5,NA
"546","Dong Nai",1,NA,"23:59, 7 April 2020",0,NA
"547","Dong Thap",4,NA,"23:59, 7 April 2020",4,NA
"548","Ha Nam",2,NA,"23:59, 7 April 2020",0,NA
"549","Hanoi",115,NA,"23:59, 7 April 2020",49,NA
"550","Ha Tinh",3,NA,"23:59, 7 April 2020",0,NA
"551","Hai Duong",1,NA,"23:59, 7 April 2020",1,NA
"552","Ho Chi Minh City",54,NA,"23:59, 7 April 2020",31,NA
"553","Khanh Hoa",1,NA,"23:59, 7 April 2020",1,NA
"554","Lai Chau",1,NA,"23:59, 7 April 2020",0,NA
"555","Lao Cai",2,NA,"23:59, 7 April 2020",0,NA
"556","Ninh Binh",13,NA,"23:59, 7 April 2020",1,NA
"557","Ninh Thuan",2,NA,"23:59, 7 April 2020",2,NA
"558","Quang Nam",1,NA,"23:59, 7 April 2020",1,NA
"559","Quang Ninh",6,NA,"23:59, 7 April 2020",0,NA
"560","Tay Ninh",2,NA,"23:59, 7 April 2020",2,NA
"561","Thanh Hoa",3,NA,"23:59, 7 April 2020",1,NA
"562","Thua Thien Hue",4,NA,"23:59, 7 April 2020",4,NA
"563","Tra Vinh",3,NA,"23:59, 7 April 2020",0,NA
"564","Vinh Phuc",11,NA,"23:59, 7 April 2020",11,NA
"565","25 cities and provinces",251,NA,"23:59, 7 April 2020",122,NA
"566","Bac Lieu",3,NA,"18:50, 8 April 2020",0,NA
"567","Bac Ninh",1,NA,"18:50, 8 April 2020",0,NA
"568","Ben Tre",1,NA,"18:50, 8 April 2020",1,NA
"569","Binh Thuan",9,NA,"18:50, 8 April 2020",7,NA
"570","Can Tho",2,NA,"18:50, 8 April 2020",1,NA
"571","Da Nang",6,NA,"18:50, 8 April 2020",5,NA
"572","Dong Nai",1,NA,"18:50, 8 April 2020",0,NA
"573","Dong Thap",4,NA,"18:50, 8 April 2020",4,NA
"574","Ha Nam",2,NA,"18:50, 8 April 2020",0,NA
"575","Hanoi",115,NA,"18:50, 8 April 2020",49,NA
"576","Ha Tinh",3,NA,"18:50, 8 April 2020",0,NA
"577","Hai Duong",1,NA,"18:50, 8 April 2020",1,NA
"578","Ho Chi Minh City",54,NA,"18:50, 8 April 2020",35,NA
"579","Khanh Hoa",1,NA,"18:50, 8 April 2020",1,NA
"580","Lai Chau",1,NA,"18:50, 8 April 2020",0,NA
"581","Lao Cai",2,NA,"18:50, 8 April 2020",0,NA
"582","Ninh Binh",13,NA,"18:50, 8 April 2020",1,NA
"583","Ninh Thuan",2,NA,"18:50, 8 April 2020",2,NA
"584","Quang Nam",1,NA,"18:50, 8 April 2020",1,NA
"585","Quang Ninh",6,NA,"18:50, 8 April 2020",0,NA
"586","Tay Ninh",2,NA,"18:50, 8 April 2020",2,NA
"587","Thanh Hoa",3,NA,"18:50, 8 April 2020",1,NA
"588","Thua Thien Hue",4,NA,"18:50, 8 April 2020",4,NA
"589","Tra Vinh",3,NA,"18:50, 8 April 2020",0,NA
"590","Vinh Phuc",11,NA,"18:50, 8 April 2020",11,NA
"591","25 cities and provinces",251,NA,"18:50, 8 April 2020",126,NA
"592","Bac Lieu",3,NA,"13:32, 9 April 2020",0,NA
"593","Bac Ninh",1,NA,"13:32, 9 April 2020",0,NA
"594","Ben Tre",1,NA,"13:32, 9 April 2020",1,NA
"595","Binh Thuan",9,NA,"13:32, 9 April 2020",7,NA
"596","Can Tho",2,NA,"13:32, 9 April 2020",1,NA
"597","Da Nang",6,NA,"13:32, 9 April 2020",5,NA
"598","Dong Nai",1,NA,"13:32, 9 April 2020",0,NA
"599","Dong Thap",4,NA,"13:32, 9 April 2020",4,NA
"600","Ha Nam",2,NA,"13:32, 9 April 2020",0,NA
"601","Hanoi",118,NA,"13:32, 9 April 2020",49,NA
"602","Ha Tinh",3,NA,"13:32, 9 April 2020",0,NA
"603","Hai Duong",1,NA,"13:32, 9 April 2020",1,NA
"604","Ho Chi Minh City",54,NA,"13:32, 9 April 2020",37,NA
"605","Khanh Hoa",1,NA,"13:32, 9 April 2020",1,NA
"606","Lai Chau",1,NA,"13:32, 9 April 2020",0,NA
"607","Lao Cai",2,NA,"13:32, 9 April 2020",0,NA
"608","Ninh Binh",13,NA,"13:32, 9 April 2020",1,NA
"609","Ninh Thuan",2,NA,"13:32, 9 April 2020",2,NA
"610","Quang Nam",1,NA,"13:32, 9 April 2020",1,NA
"611","Quang Ninh",6,NA,"13:32, 9 April 2020",0,NA
"612","Tay Ninh",3,NA,"13:32, 9 April 2020",2,NA
"613","Thanh Hoa",3,NA,"13:32, 9 April 2020",1,NA
"614","Thua Thien Hue",4,NA,"13:32, 9 April 2020",4,NA
"615","Tra Vinh",3,NA,"13:32, 9 April 2020",0,NA
"616","Vinh Phuc",11,NA,"13:32, 9 April 2020",11,NA
"617","25 cities and provinces",255,NA,"13:32, 9 April 2020",128,NA
"618","Bac Lieu",3,NA,"23:33, 10 April 2020",0,NA
"619","Bac Ninh",1,NA,"23:33, 10 April 2020",1,NA
"620","Ben Tre",1,NA,"23:33, 10 April 2020",1,NA
"621","Binh Thuan",9,NA,"23:33, 10 April 2020",9,NA
"622","Can Tho",2,NA,"23:33, 10 April 2020",1,NA
"623","Da Nang",6,NA,"23:33, 10 April 2020",6,NA
"624","Dong Nai",1,NA,"23:33, 10 April 2020",0,NA
"625","Dong Thap",4,NA,"23:33, 10 April 2020",4,NA
"626","Ha Nam",2,NA,"23:33, 10 April 2020",0,NA
"627","Hanoi",120,NA,"23:33, 10 April 2020",58,NA
"628","Ha Tinh",3,NA,"23:33, 10 April 2020",0,NA
"629","Hai Duong",1,NA,"23:33, 10 April 2020",1,NA
"630","Ho Chi Minh City",54,NA,"23:33, 10 April 2020",40,NA
"631","Khanh Hoa",1,NA,"23:33, 10 April 2020",1,NA
"632","Lai Chau",1,NA,"23:33, 10 April 2020",0,NA
"633","Lao Cai",2,NA,"23:33, 10 April 2020",0,NA
"634","Ninh Binh",13,NA,"23:33, 10 April 2020",1,NA
"635","Ninh Thuan",2,NA,"23:33, 10 April 2020",2,NA
"636","Quang Nam",1,NA,"23:33, 10 April 2020",1,NA
"637","Quang Ninh",6,NA,"23:33, 10 April 2020",0,NA
"638","Tay Ninh",3,NA,"23:33, 10 April 2020",2,NA
"639","Thanh Hoa",3,NA,"23:33, 10 April 2020",1,NA
"640","Thua Thien Hue",4,NA,"23:33, 10 April 2020",4,NA
"641","Tra Vinh",3,NA,"23:33, 10 April 2020",0,NA
"642","Vinh Phuc",11,NA,"23:33, 10 April 2020",11,NA
"643","25 cities and provinces",257,NA,"23:33, 10 April 2020",144,NA
"644","Bac Lieu",3,NA,"17:25, 11 April 2020",0,NA
"645","Bac Ninh",1,NA,"17:25, 11 April 2020",1,NA
"646","Ben Tre",1,NA,"17:25, 11 April 2020",1,NA
"647","Binh Thuan",9,NA,"17:25, 11 April 2020",9,NA
"648","Can Tho",2,NA,"17:25, 11 April 2020",1,NA
"649","Da Nang",6,NA,"17:25, 11 April 2020",6,NA
"650","Dong Nai",1,NA,"17:25, 11 April 2020",0,NA
"651","Dong Thap",4,NA,"17:25, 11 April 2020",4,NA
"652","Ha Nam",2,NA,"17:25, 11 April 2020",0,NA
"653","Hanoi",121,NA,"17:25, 11 April 2020",58,NA
"654","Ha Tinh",3,NA,"17:25, 11 April 2020",0,NA
"655","Hai Duong",1,NA,"17:25, 11 April 2020",1,NA
"656","Ho Chi Minh City",54,NA,"17:25, 11 April 2020",40,NA
"657","Khanh Hoa",1,NA,"17:25, 11 April 2020",1,NA
"658","Lai Chau",1,NA,"17:25, 11 April 2020",0,NA
"659","Lao Cai",2,NA,"17:25, 11 April 2020",0,NA
"660","Ninh Binh",13,NA,"17:25, 11 April 2020",1,NA
"661","Ninh Thuan",2,NA,"17:25, 11 April 2020",2,NA
"662","Quang Nam",1,NA,"17:25, 11 April 2020",1,NA
"663","Quang Ninh",6,NA,"17:25, 11 April 2020",0,NA
"664","Tay Ninh",3,NA,"17:25, 11 April 2020",2,NA
"665","Thanh Hoa",3,NA,"17:25, 11 April 2020",1,NA
"666","Thua Thien Hue",4,NA,"17:25, 11 April 2020",4,NA
"667","Tra Vinh",3,NA,"17:25, 11 April 2020",0,NA
"668","Vinh Phuc",11,NA,"17:25, 11 April 2020",11,NA
"669","25 cities and provinces",258,NA,"17:25, 11 April 2020",144,NA
"670","Bac Lieu",3,NA,"23:49, 12 April 2020",0,NA
"671","Bac Ninh",1,NA,"23:49, 12 April 2020",1,NA
"672","Ben Tre",1,NA,"23:49, 12 April 2020",1,NA
"673","Binh Thuan",9,NA,"23:49, 12 April 2020",9,NA
"674","Can Tho",2,NA,"23:49, 12 April 2020",1,NA
"675","Da Nang",6,NA,"23:49, 12 April 2020",6,NA
"676","Dong Nai",1,NA,"23:49, 12 April 2020",0,NA
"677","Dong Thap",4,NA,"23:49, 12 April 2020",4,NA
"678","Ha Nam",2,NA,"23:49, 12 April 2020",0,NA
"679","Hanoi",123,NA,"23:49, 12 April 2020",58,NA
"680","Ha Tinh",3,NA,"23:49, 12 April 2020",0,NA
"681","Hai Duong",1,NA,"23:49, 12 April 2020",1,NA
"682","Ho Chi Minh City",54,NA,"23:49, 12 April 2020",40,NA
"683","Khanh Hoa",1,NA,"23:49, 12 April 2020",1,NA
"684","Lai Chau",1,NA,"23:49, 12 April 2020",0,NA
"685","Lao Cai",2,NA,"23:49, 12 April 2020",0,NA
"686","Ninh Binh",13,NA,"23:49, 12 April 2020",1,NA
"687","Ninh Thuan",2,NA,"23:49, 12 April 2020",2,NA
"688","Quang Nam",1,NA,"23:49, 12 April 2020",1,NA
"689","Quang Ninh",6,NA,"23:49, 12 April 2020",0,NA
"690","Tay Ninh",3,NA,"23:49, 12 April 2020",2,NA
