"","city_province","number_of_cases","notes","edit_date","discharged","deaths"
"691","Thanh Hoa",3,NA,"23:49, 12 April 2020",1,NA
"692","Thua Thien Hue",4,NA,"23:49, 12 April 2020",4,NA
"693","Tra Vinh",3,NA,"23:49, 12 April 2020",0,NA
"694","Vinh Phuc",11,NA,"23:49, 12 April 2020",11,NA
"695","25 cities and provinces",260,NA,"23:49, 12 April 2020",144,NA
"696","Bac Lieu",3,NA,"17:44, 13 April 2020",1,NA
"697","Bac Ninh",1,NA,"17:44, 13 April 2020",1,NA
"698","Ben Tre",1,NA,"17:44, 13 April 2020",1,NA
"699","Binh Thuan",9,NA,"17:44, 13 April 2020",9,NA
"700","Can Tho",2,NA,"17:44, 13 April 2020",1,NA
"701","Da Nang",6,NA,"17:44, 13 April 2020",6,NA
"702","Dong Nai",1,NA,"17:44, 13 April 2020",0,NA
"703","Dong Thap",4,NA,"17:44, 13 April 2020",4,NA
"704","Ha Nam",2,NA,"17:44, 13 April 2020",0,NA
"705","Hanoi",127,NA,"17:44, 13 April 2020",58,NA
"706","Ha Tinh",4,NA,"17:44, 13 April 2020",0,NA
"707","Hai Duong",1,NA,"17:44, 13 April 2020",1,NA
"708","Ho Chi Minh City",54,NA,"17:44, 13 April 2020",40,NA
"709","Khanh Hoa",1,NA,"17:44, 13 April 2020",1,NA
"710","Lai Chau",1,NA,"17:44, 13 April 2020",0,NA
"711","Lao Cai",2,NA,"17:44, 13 April 2020",0,NA
"712","Ninh Binh",13,NA,"17:44, 13 April 2020",1,NA
"713","Ninh Thuan",2,NA,"17:44, 13 April 2020",2,NA
"714","Quang Nam",1,NA,"17:44, 13 April 2020",1,NA
"715","Quang Ninh",6,NA,"17:44, 13 April 2020",0,NA
"716","Tay Ninh",3,NA,"17:44, 13 April 2020",2,NA
"717","Thanh Hoa",3,NA,"17:44, 13 April 2020",1,NA
"718","Thua Thien Hue",4,NA,"17:44, 13 April 2020",4,NA
"719","Tra Vinh",3,NA,"17:44, 13 April 2020",0,NA
"720","Vinh Phuc",11,NA,"17:44, 13 April 2020",11,NA
"721","25 cities and provinces",265,NA,"17:44, 13 April 2020",145,NA
"722","Bac Lieu",3,NA,"16:14, 14 April 2020",1,NA
"723","Bac Ninh",1,NA,"16:14, 14 April 2020",1,NA
"724","Ben Tre",1,NA,"16:14, 14 April 2020",1,NA
"725","Binh Thuan",9,NA,"16:14, 14 April 2020",9,NA
"726","Can Tho",2,NA,"16:14, 14 April 2020",1,NA
"727","Da Nang",6,NA,"16:14, 14 April 2020",6,NA
"728","Dong Nai",1,NA,"16:14, 14 April 2020",0,NA
"729","Dong Thap",4,NA,"16:14, 14 April 2020",4,NA
"730","Ha Nam",2,NA,"16:14, 14 April 2020",0,NA
"731","Hanoi",128,NA,"16:14, 14 April 2020",71,NA
"732","Ha Tinh",4,NA,"16:14, 14 April 2020",1,NA
"733","Hai Duong",1,NA,"16:14, 14 April 2020",1,NA
"734","Ho Chi Minh City",54,NA,"16:14, 14 April 2020",50,NA
"735","Khanh Hoa",1,NA,"16:14, 14 April 2020",1,NA
"736","Lai Chau",1,NA,"16:14, 14 April 2020",0,NA
"737","Lao Cai",2,NA,"16:14, 14 April 2020",0,NA
"738","Ninh Binh",13,NA,"16:14, 14 April 2020",1,NA
"739","Ninh Thuan",2,NA,"16:14, 14 April 2020",2,NA
"740","Quang Nam",1,NA,"16:14, 14 April 2020",1,NA
"741","Quang Ninh",6,NA,"16:14, 14 April 2020",0,NA
"742","Tay Ninh",3,NA,"16:14, 14 April 2020",2,NA
"743","Thanh Hoa",3,NA,"16:14, 14 April 2020",1,NA
"744","Thua Thien Hue",4,NA,"16:14, 14 April 2020",4,NA
"745","Tra Vinh",3,NA,"16:14, 14 April 2020",0,NA
"746","Vinh Phuc",11,NA,"16:14, 14 April 2020",11,NA
"747","25 cities and provinces",266,NA,"16:14, 14 April 2020",169,NA
"748","Bac Lieu",3,NA,"09:57, 15 April 2020",1,NA
"749","Bac Ninh",1,NA,"09:57, 15 April 2020",1,NA
"750","Ben Tre",1,NA,"09:57, 15 April 2020",1,NA
"751","Binh Thuan",9,NA,"09:57, 15 April 2020",9,NA
"752","Can Tho",2,NA,"09:57, 15 April 2020",2,NA
"753","Da Nang",6,NA,"09:57, 15 April 2020",6,NA
"754","Dong Nai",1,NA,"09:57, 15 April 2020",0,NA
"755","Dong Thap",4,NA,"09:57, 15 April 2020",4,NA
"756","Ha Nam",2,NA,"09:57, 15 April 2020",0,NA
"757","Hanoi",129,NA,"09:57, 15 April 2020",72,NA
"758","Ha Tinh",4,NA,"09:57, 15 April 2020",1,NA
"759","Hai Duong",1,NA,"09:57, 15 April 2020",1,NA
"760","Ho Chi Minh City",54,NA,"09:57, 15 April 2020",50,NA
"761","Khanh Hoa",1,NA,"09:57, 15 April 2020",1,NA
"762","Lai Chau",1,NA,"09:57, 15 April 2020",0,NA
"763","Lao Cai",2,NA,"09:57, 15 April 2020",0,NA
"764","Ninh Binh",13,NA,"09:57, 15 April 2020",1,NA
"765","Ninh Thuan",2,NA,"09:57, 15 April 2020",2,NA
"766","Quang Nam",1,NA,"09:57, 15 April 2020",1,NA
"767","Quang Ninh",6,NA,"09:57, 15 April 2020",0,NA
"768","Tay Ninh",3,NA,"09:57, 15 April 2020",2,NA
"769","Thanh Hoa",3,NA,"09:57, 15 April 2020",1,NA
"770","Thua Thien Hue",4,NA,"09:57, 15 April 2020",4,NA
"771","Tra Vinh",3,NA,"09:57, 15 April 2020",0,NA
"772","Vinh Phuc",11,NA,"09:57, 15 April 2020",11,NA
"773","25 cities and provinces",267,NA,"09:57, 15 April 2020",171,NA
"774","Bac Lieu",3,NA,"15:23, 16 April 2020",1,NA
"775","Bac Ninh",1,NA,"15:23, 16 April 2020",1,NA
"776","Ben Tre",1,NA,"15:23, 16 April 2020",1,NA
"777","Binh Thuan",9,NA,"15:23, 16 April 2020",9,NA
"778","Can Tho",2,NA,"15:23, 16 April 2020",2,NA
"779","Da Nang",6,NA,"15:23, 16 April 2020",6,NA
"780","Dong Nai",1,NA,"15:23, 16 April 2020",0,NA
"781","Dong Thap",4,NA,"15:23, 16 April 2020",4,NA
"782","Ha Giang",1,NA,"15:23, 16 April 2020",0,NA
"783","Ha Nam",3,NA,"15:23, 16 April 2020",3,NA
"784","Hanoi",133,NA,"15:23, 16 April 2020",76,NA
"785","Ha Tinh",4,NA,"15:23, 16 April 2020",1,NA
"786","Hai Duong",1,NA,"15:23, 16 April 2020",1,NA
"787","Ho Chi Minh City",54,NA,"15:23, 16 April 2020",46,NA
"788","Khanh Hoa",1,NA,"15:23, 16 April 2020",1,NA
"789","Lai Chau",1,NA,"15:23, 16 April 2020",0,NA
"790","Lao Cai",2,NA,"15:23, 16 April 2020",0,NA
"791","Ninh Binh",13,NA,"15:23, 16 April 2020",2,NA
"792","Ninh Thuan",2,NA,"15:23, 16 April 2020",2,NA
"793","Quang Nam",1,NA,"15:23, 16 April 2020",1,NA
"794","Quang Ninh",6,NA,"15:23, 16 April 2020",2,NA
"795","Tay Ninh",3,NA,"15:23, 16 April 2020",2,NA
"796","Thanh Hoa",3,NA,"15:23, 16 April 2020",1,NA
"797","Thua Thien Hue",4,NA,"15:23, 16 April 2020",4,NA
"798","Tra Vinh",3,NA,"15:23, 16 April 2020",0,NA
"799","Vinh Phuc",11,NA,"15:23, 16 April 2020",11,NA
"800","26 cities and provinces",268,NA,"15:23, 16 April 2020",177,NA
"801","Hanoi",112,NA,"22:50, 17 April 2020",75,0
"802","Ho Chi Minh City",55,NA,"22:50, 17 April 2020",47,0
"803","Vinh Phuc",19,NA,"22:50, 17 April 2020",14,0
"804","Ninh Binh",13,NA,"22:50, 17 April 2020",3,0
"805","Binh Thuan",9,NA,"22:50, 17 April 2020",9,0
"806","Quang Ninh",7,NA,"22:50, 17 April 2020",7,0
"807","Da Nang",6,NA,"22:50, 17 April 2020",6,0
"808","Ha Tinh",4,NA,"22:50, 17 April 2020",1,0
"809","Ha Nam",4,NA,"22:50, 17 April 2020",3,0
"810","Bac Giang",4,NA,"22:50, 17 April 2020",4,0
"811","Dong Thap",4,NA,"22:50, 17 April 2020",4,0
"812","Thanh Hoa",3,NA,"22:50, 17 April 2020",2,0
"813","Bac Lieu",3,NA,"22:50, 17 April 2020",1,0
"814","Tay Ninh",3,NA,"22:50, 17 April 2020",2,0
"815","Quang Nam",3,NA,"22:50, 17 April 2020",3,0
"816","Can Tho",2,NA,"22:50, 17 April 2020",2,0
"817","Lao Cai",2,NA,"22:50, 17 April 2020",2,0
"818","Ninh Thuan",2,NA,"22:50, 17 April 2020",2,0
"819","Thua Thien Hue",2,NA,"22:50, 17 April 2020",2,0
"820","Tra Vinh",2,NA,"22:50, 17 April 2020",2,0
"821","Thai Nguyen",1,NA,"22:50, 17 April 2020",0,0
"822","Hung Yen",1,NA,"22:50, 17 April 2020",0,0
"823","Dong Nai",1,NA,"22:50, 17 April 2020",0,0
"824","Ha Giang",1,NA,"22:50, 17 April 2020",0,0
"825","Hai Duong",1,NA,"22:50, 17 April 2020",1,0
"826","Lai Chau",1,NA,"22:50, 17 April 2020",1,0
"827","Khanh Hoa",1,NA,"22:50, 17 April 2020",1,0
"828","Ben Tre",1,NA,"22:50, 17 April 2020",1,0
"829","Bac Ninh",1,NA,"22:50, 17 April 2020",1,0
"830","29 cities and provinces",268,NA,"22:50, 17 April 2020",198,0
"831","Hanoi",112,NA,"17:47, 18 April 2020",81,0
"832","Ho Chi Minh City",55,NA,"17:47, 18 April 2020",54,0
"833","Vinh Phuc",19,NA,"17:47, 18 April 2020",14,0
"834","Ninh Binh",13,NA,"17:47, 18 April 2020",11,0
"835","Binh Thuan",9,NA,"17:47, 18 April 2020",9,0
"836","Quang Ninh",7,NA,"17:47, 18 April 2020",7,0
"837","Da Nang",6,NA,"17:47, 18 April 2020",6,0
"838","Ha Tinh",4,NA,"17:47, 18 April 2020",3,0
"839","Ha Nam",4,NA,"17:47, 18 April 2020",4,0
"840","Bac Giang",4,NA,"17:47, 18 April 2020",4,0
"841","Dong Thap",4,NA,"17:47, 18 April 2020",4,0
"842","Thanh Hoa",3,NA,"17:47, 18 April 2020",2,0
"843","Tay Ninh",3,NA,"17:47, 18 April 2020",3,0
"844","Bac Lieu",3,NA,"17:47, 18 April 2020",3,0
"845","Quang Nam",3,NA,"17:47, 18 April 2020",3,0
"846","Can Tho",2,NA,"17:47, 18 April 2020",2,0
"847","Lao Cai",2,NA,"17:47, 18 April 2020",2,0
"848","Ninh Thuan",2,NA,"17:47, 18 April 2020",2,0
"849","Thua Thien Hue",2,NA,"17:47, 18 April 2020",2,0
"850","Tra Vinh",2,NA,"17:47, 18 April 2020",2,0
"851","Thai Nguyen",1,NA,"17:47, 18 April 2020",0,0
"852","Hung Yen",1,NA,"17:47, 18 April 2020",0,0
"853","Dong Nai",1,NA,"17:47, 18 April 2020",0,0
"854","Ha Giang",1,NA,"17:47, 18 April 2020",0,0
"855","Hai Duong",1,NA,"17:47, 18 April 2020",1,0
"856","Lai Chau",1,NA,"17:47, 18 April 2020",1,0
"857","Khanh Hoa",1,NA,"17:47, 18 April 2020",1,0
"858","Ben Tre",1,NA,"17:47, 18 April 2020",1,0
"859","Bac Ninh",1,NA,"17:47, 18 April 2020",1,0
"860","29 cities and provinces",268,NA,"17:47, 18 April 2020",224,0
"861","Hanoi",112,NA,"15:22, 19 April 2020",81,0
"862","Ho Chi Minh City",55,NA,"15:22, 19 April 2020",54,0
"863","Vinh Phuc",19,NA,"15:22, 19 April 2020",14,0
"864","Ninh Binh",13,NA,"15:22, 19 April 2020",11,0
"865","Binh Thuan",9,NA,"15:22, 19 April 2020",9,0
"866","Quang Ninh",7,NA,"15:22, 19 April 2020",7,0
"867","Da Nang",6,NA,"15:22, 19 April 2020",6,0
"868","Ha Tinh",4,NA,"15:22, 19 April 2020",3,0
"869","Ha Nam",4,NA,"15:22, 19 April 2020",4,0
"870","Bac Giang",4,NA,"15:22, 19 April 2020",4,0
"871","Dong Thap",4,NA,"15:22, 19 April 2020",4,0
"872","Thanh Hoa",3,NA,"15:22, 19 April 2020",2,0
"873","Tay Ninh",3,NA,"15:22, 19 April 2020",3,0
"874","Bac Lieu",3,NA,"15:22, 19 April 2020",3,0
"875","Quang Nam",3,NA,"15:22, 19 April 2020",3,0
"876","Can Tho",2,NA,"15:22, 19 April 2020",2,0
"877","Lao Cai",2,NA,"15:22, 19 April 2020",2,0
"878","Ninh Thuan",2,NA,"15:22, 19 April 2020",2,0
"879","Thua Thien Hue",2,NA,"15:22, 19 April 2020",2,0
"880","Tra Vinh",2,NA,"15:22, 19 April 2020",2,0
"881","Thai Nguyen",1,NA,"15:22, 19 April 2020",0,0
"882","Hung Yen",1,NA,"15:22, 19 April 2020",0,0
"883","Dong Nai",1,NA,"15:22, 19 April 2020",0,0
"884","Ha Giang",1,NA,"15:22, 19 April 2020",0,0
"885","Hai Duong",1,NA,"15:22, 19 April 2020",1,0
"886","Lai Chau",1,NA,"15:22, 19 April 2020",1,0
"887","Khanh Hoa",1,NA,"15:22, 19 April 2020",1,0
"888","Ben Tre",1,NA,"15:22, 19 April 2020",1,0
"889","Bac Ninh",1,NA,"15:22, 19 April 2020",1,0
"890","29 cities and provinces",268,NA,"15:22, 19 April 2020",224,0
"891","Hanoi",112,NA,"18:17, 20 April 2020",81,0
"892","Ho Chi Minh City",55,NA,"18:17, 20 April 2020",54,0
"893","Vinh Phuc",19,NA,"18:17, 20 April 2020",14,0
"894","Ninh Binh",13,NA,"18:17, 20 April 2020",11,0
"895","Binh Thuan",9,NA,"18:17, 20 April 2020",9,0
"896","Quang Ninh",7,NA,"18:17, 20 April 2020",7,0
"897","Da Nang",6,NA,"18:17, 20 April 2020",6,0
"898","Ha Tinh",4,NA,"18:17, 20 April 2020",3,0
"899","Ha Nam",4,NA,"18:17, 20 April 2020",4,0
"900","Bac Giang",4,NA,"18:17, 20 April 2020",4,0
"901","Dong Thap",4,NA,"18:17, 20 April 2020",4,0
"902","Thanh Hoa",3,NA,"18:17, 20 April 2020",2,0
"903","Tay Ninh",3,NA,"18:17, 20 April 2020",3,0
"904","Bac Lieu",3,NA,"18:17, 20 April 2020",3,0
"905","Quang Nam",3,NA,"18:17, 20 April 2020",3,0
"906","Can Tho",2,NA,"18:17, 20 April 2020",2,0
"907","Lao Cai",2,NA,"18:17, 20 April 2020",2,0
"908","Ninh Thuan",2,NA,"18:17, 20 April 2020",2,0
"909","Thua Thien Hue",2,NA,"18:17, 20 April 2020",2,0
"910","Tra Vinh",2,NA,"18:17, 20 April 2020",2,0
"911","Thai Nguyen",1,NA,"18:17, 20 April 2020",0,0
"912","Hung Yen",1,NA,"18:17, 20 April 2020",0,0
"913","Dong Nai",1,NA,"18:17, 20 April 2020",0,0
"914","Ha Giang",1,NA,"18:17, 20 April 2020",0,0
"915","Hai Duong",1,NA,"18:17, 20 April 2020",1,0
"916","Lai Chau",1,NA,"18:17, 20 April 2020",1,0
"917","Khanh Hoa",1,NA,"18:17, 20 April 2020",1,0
"918","Ben Tre",1,NA,"18:17, 20 April 2020",1,0
"919","Bac Ninh",1,NA,"18:17, 20 April 2020",1,0
"920","29 cities and provinces",268,NA,"18:17, 20 April 2020",224,0
"921","Hanoi",112,NA,"08:25, 21 April 2020",81,0
"922","Ho Chi Minh City",55,NA,"08:25, 21 April 2020",54,0
"923","Vinh Phuc",19,NA,"08:25, 21 April 2020",14,0
"924","Ninh Binh",13,NA,"08:25, 21 April 2020",11,0
"925","Binh Thuan",9,NA,"08:25, 21 April 2020",9,0
"926","Quang Ninh",7,NA,"08:25, 21 April 2020",7,0
"927","Da Nang",6,NA,"08:25, 21 April 2020",6,0
"928","Ha Tinh",4,NA,"08:25, 21 April 2020",3,0
"929","Ha Nam",4,NA,"08:25, 21 April 2020",4,0
"930","Bac Giang",4,NA,"08:25, 21 April 2020",4,0
"931","Dong Thap",4,NA,"08:25, 21 April 2020",4,0
"932","Thanh Hoa",3,NA,"08:25, 21 April 2020",2,0
"933","Tay Ninh",3,NA,"08:25, 21 April 2020",3,0
"934","Bac Lieu",3,NA,"08:25, 21 April 2020",3,0
"935","Quang Nam",3,NA,"08:25, 21 April 2020",3,0
"936","Can Tho",2,NA,"08:25, 21 April 2020",2,0
"937","Lao Cai",2,NA,"08:25, 21 April 2020",2,0
"938","Ninh Thuan",2,NA,"08:25, 21 April 2020",2,0
"939","Thua Thien Hue",2,NA,"08:25, 21 April 2020",2,0
"940","Tra Vinh",2,NA,"08:25, 21 April 2020",2,0
"941","Thai Nguyen",1,NA,"08:25, 21 April 2020",0,0
"942","Hung Yen",1,NA,"08:25, 21 April 2020",0,0
"943","Dong Nai",1,NA,"08:25, 21 April 2020",0,0
"944","Ha Giang",1,NA,"08:25, 21 April 2020",0,0
"945","Hai Duong",1,NA,"08:25, 21 April 2020",1,0
"946","Lai Chau",1,NA,"08:25, 21 April 2020",1,0
"947","Khanh Hoa",1,NA,"08:25, 21 April 2020",1,0
"948","Ben Tre",1,NA,"08:25, 21 April 2020",1,0
"949","Bac Ninh",1,NA,"08:25, 21 April 2020",1,0
"950","29 cities and provinces",268,NA,"08:25, 21 April 2020",224,0
"951","Hanoi",112,NA,"11:14, 22 April 2020",81,0
"952","Ho Chi Minh City",55,NA,"11:14, 22 April 2020",54,0
"953","Vinh Phuc",19,NA,"11:14, 22 April 2020",14,0
"954","Ninh Binh",13,NA,"11:14, 22 April 2020",11,0
"955","Binh Thuan",9,NA,"11:14, 22 April 2020",9,0
"956","Quang Ninh",7,NA,"11:14, 22 April 2020",7,0
"957","Da Nang",6,NA,"11:14, 22 April 2020",6,0
"958","Ha Tinh",4,NA,"11:14, 22 April 2020",3,0
"959","Ha Nam",4,NA,"11:14, 22 April 2020",4,0
"960","Bac Giang",4,NA,"11:14, 22 April 2020",4,0
"961","Dong Thap",4,NA,"11:14, 22 April 2020",4,0
"962","Thanh Hoa",3,NA,"11:14, 22 April 2020",2,0
"963","Tay Ninh",3,NA,"11:14, 22 April 2020",3,0
"964","Bac Lieu",3,NA,"11:14, 22 April 2020",3,0
"965","Quang Nam",3,NA,"11:14, 22 April 2020",3,0
"966","Can Tho",2,NA,"11:14, 22 April 2020",2,0
"967","Lao Cai",2,NA,"11:14, 22 April 2020",2,0
"968","Ninh Thuan",2,NA,"11:14, 22 April 2020",2,0
"969","Thua Thien Hue",2,NA,"11:14, 22 April 2020",2,0
"970","Tra Vinh",2,NA,"11:14, 22 April 2020",2,0
"971","Thai Nguyen",1,NA,"11:14, 22 April 2020",0,0
"972","Hung Yen",1,NA,"11:14, 22 April 2020",0,0
"973","Dong Nai",1,NA,"11:14, 22 April 2020",0,0
"974","Ha Giang",1,NA,"11:14, 22 April 2020",0,0
"975","Hai Duong",1,NA,"11:14, 22 April 2020",1,0
"976","Lai Chau",1,NA,"11:14, 22 April 2020",1,0
"977","Khanh Hoa",1,NA,"11:14, 22 April 2020",1,0
"978","Ben Tre",1,NA,"11:14, 22 April 2020",1,0
"979","Bac Ninh",1,NA,"11:14, 22 April 2020",1,0
"980","29 cities and provinces",268,NA,"11:14, 22 April 2020",224,0
"981","Hanoi",112,NA,"11:59, 23 April 2020",81,0
"982","Ho Chi Minh City",55,NA,"11:59, 23 April 2020",54,0
"983","Vinh Phuc",19,NA,"11:59, 23 April 2020",14,0
"984","Ninh Binh",13,NA,"11:59, 23 April 2020",11,0
"985","Binh Thuan",9,NA,"11:59, 23 April 2020",9,0
"986","Quang Ninh",7,NA,"11:59, 23 April 2020",7,0
"987","Da Nang",6,NA,"11:59, 23 April 2020",6,0
"988","Ha Tinh",4,NA,"11:59, 23 April 2020",3,0
"989","Ha Nam",4,NA,"11:59, 23 April 2020",4,0
"990","Bac Giang",4,NA,"11:59, 23 April 2020",4,0
"991","Dong Thap",4,NA,"11:59, 23 April 2020",4,0
"992","Thanh Hoa",3,NA,"11:59, 23 April 2020",2,0
"993","Tay Ninh",3,NA,"11:59, 23 April 2020",3,0
"994","Bac Lieu",3,NA,"11:59, 23 April 2020",3,0
"995","Quang Nam",3,NA,"11:59, 23 April 2020",3,0
"996","Can Tho",2,NA,"11:59, 23 April 2020",2,0
"997","Lao Cai",2,NA,"11:59, 23 April 2020",2,0
"998","Ninh Thuan",2,NA,"11:59, 23 April 2020",2,0
"999","Thua Thien Hue",2,NA,"11:59, 23 April 2020",2,0
"1000","Tra Vinh",2,NA,"11:59, 23 April 2020",2,0
"1001","Thai Nguyen",1,NA,"11:59, 23 April 2020",0,0
"1002","Hung Yen",1,NA,"11:59, 23 April 2020",0,0
"1003","Dong Nai",1,NA,"11:59, 23 April 2020",0,0
"1004","Ha Giang",1,NA,"11:59, 23 April 2020",0,0
"1005","Hai Duong",1,NA,"11:59, 23 April 2020",1,0
"1006","Lai Chau",1,NA,"11:59, 23 April 2020",1,0
"1007","Khanh Hoa",1,NA,"11:59, 23 April 2020",1,0
"1008","Ben Tre",1,NA,"11:59, 23 April 2020",1,0
"1009","Bac Ninh",1,NA,"11:59, 23 April 2020",1,0
"1010","29 cities and provinces",268,NA,"11:59, 23 April 2020",224,0
"1011","Hanoi",112,NA,"09:29, 24 April 2020",81,0
"1012","Ho Chi Minh City",55,NA,"09:29, 24 April 2020",54,0
"1013","Vinh Phuc",19,NA,"09:29, 24 April 2020",14,0
"1014","Ninh Binh",13,NA,"09:29, 24 April 2020",11,0
"1015","Binh Thuan",9,NA,"09:29, 24 April 2020",9,0
"1016","Quang Ninh",7,NA,"09:29, 24 April 2020",7,0
"1017","Da Nang",6,NA,"09:29, 24 April 2020",6,0
"1018","Ha Tinh",4,NA,"09:29, 24 April 2020",3,0
"1019","Ha Nam",4,NA,"09:29, 24 April 2020",4,0
"1020","Bac Giang",4,NA,"09:29, 24 April 2020",4,0
"1021","Dong Thap",4,NA,"09:29, 24 April 2020",4,0
"1022","Thanh Hoa",3,NA,"09:29, 24 April 2020",2,0
"1023","Tay Ninh",3,NA,"09:29, 24 April 2020",3,0
"1024","Bac Lieu",3,NA,"09:29, 24 April 2020",3,0
"1025","Quang Nam",3,NA,"09:29, 24 April 2020",3,0
"1026","Can Tho",2,NA,"09:29, 24 April 2020",2,0
"1027","Lao Cai",2,NA,"09:29, 24 April 2020",2,0
"1028","Ninh Thuan",2,NA,"09:29, 24 April 2020",2,0
"1029","Thua Thien Hue",2,NA,"09:29, 24 April 2020",2,0
"1030","Tra Vinh",2,NA,"09:29, 24 April 2020",2,0
"1031","Thai Nguyen",1,NA,"09:29, 24 April 2020",0,0
"1032","Hung Yen",1,NA,"09:29, 24 April 2020",0,0
"1033","Dong Nai",1,NA,"09:29, 24 April 2020",0,0
"1034","Ha Giang",1,NA,"09:29, 24 April 2020",0,0
"1035","Hai Duong",1,NA,"09:29, 24 April 2020",1,0
"1036","Lai Chau",1,NA,"09:29, 24 April 2020",1,0
"1037","Khanh Hoa",1,NA,"09:29, 24 April 2020",1,0
"1038","Ben Tre",1,NA,"09:29, 24 April 2020",1,0
"1039","Bac Ninh",1,NA,"09:29, 24 April 2020",1,0
"1040","29 cities and provinces",268,NA,"09:29, 24 April 2020",224,0
